"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","salesblanket","public","locations","parent_location_id",10,"uuid",NULL,"FOREIGN KEY","public","locations","id"
"postgresql","salesblanket","public","group_members","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","groups","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","addresses","neighborhood_id",13,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_drive","file_type",5,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","group_members","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","contacts","metadata",16,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","pulse_external_users","created_at",10,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","contacts","email",4,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_role_permissions","can_assign",4,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_achievements","metadata",9,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_cards","name",2,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","contact_types","description",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","notification_settings","created_at",8,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","neighborhood_streets","address_parity",6,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","user_view_preferences","view_configuration_id",3,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","geographic_zones","level",4,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_engagement_role_permissions","updated_at",9,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","entity_achievements","entity_type_id",3,"uuid",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","marketers","created_at",16,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","lead_staging","updated_at",17,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","zone_types","allowed_child_type_ids",10,"ARRAY",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","notification_channels","updated_at",7,"timestamp without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","salesblanket","public","filter_fields","field_name",3,"character varying",100,NULL,NULL,NULL,NULL
